Aeroport arrivee ;Latitude (Nord);Longitude (Est);Altitude
JFK;40.643537909821795;-73.78892598816799;13
YUL;45.46582803681348;-73.74542775907268;118
LIS;38.771697613459686;-9.128935247783787;354
CAI;30.112096612743304;31.400684582433236;382
HEL;60.318040204930725;24.949570353495332;180
