Aeroport arrivee ;Latitude (Nord);Longitude (Est);Altitude
JFK;40.643537909821795;-73.78892598816799;13
YUL;45.46582803681348;-73.74542775907268;118
LIS;38.771697613459686;-9.128935247783787;354
