Aeroport arrivee ;Destination;Latitude (Nord);Longitude (Est);Altitude
JFK;New York ,USA;40.643537909821795;-73.78892598816799;13
YUL;Montreal, Canada;45.46582803681348;-73.74542775907268;118
LIS;Lisbonne,Portugual;38.771697613459686;-9.128935247783787;354
CAI;Caire, Egypte;30.112096612743304;31.400684582433236;382
HEL;Helsinki, Finlande;60.318040204930725;24.949570353495332;180
